Country,UnemplWB2016,MonopolyForce,SVS2014,RegimeTypes2017,PrivPR2016,SocialSafetyNets,YouthRiskFactor2010,MeanYrsSchooling2015,LifeExpect2016,DscrmViolMin2016,GovFrameGE2015,GDP2017,Latitude,Longitude,Population,country,iso3c
Mozambique,25.15399933,7,4,3,30,3,0.403878748,3.5,57.62162,5.9,2,1243.62,-18.665695,35.529562,28829476,Mozambique,MOZ
Namibia,23.35000038,9,3,4,30,6,0.525780678,6.7,65.81226,5.9,3,11311.65,-22.95764,18.49041,2479713,Namibia,NAM
Nepal,3.062000036,6,4,1,30,2,0.39440304,4.1,69.23852,9.1,1,2678.93,28.394857,84.124008,28982771,Nepal,NPL
Netherlands,6.010000229,,3,4,90,,0.228839606,11.9,81.85915,3.9,0,53634.56,52.132633,5.291266,17030314,Netherlands,NLD
New Zealand,5.110000134,,2,4,95,,0.257598937,12.5,81.64497,4.1,3,38933.79,-40.900557,174.885971,4693200,New Zealand,NZL
Nicaragua,4.446000099,7,3,1,10,5,0.532690406,6.5,74.77368,6.5,3,5848.51,12.865416,-85.207229,6149928,Nicaragua,NIC
Niger,0.331999987,6,4,4,30,3,0.577704549,1.7,61.7945,7.5,4,1164.09,17.607789,8.081666,20672987,Niger,NER
Nigeria,7.059999943,4,5,1,30,4,0.619705975,6,54.45857,9.9,3,5929.20,9.081999,8.675277,185989640,Nigeria,NGA
North Korea,4.721000195,10,2,1,5,1,,,70.59411,,5,,40.339852,127.510093,25368620,"Korea, Dem. People‰Ûªs Rep.",PRK
Norway,4.679999828,,2,4,90,,0.234159827,12.7,81.77001,3.7,0,71830.88,60.472024,8.468946,5234519,Norway,NOR
Oman,15.82299995,10,2,3,55,6,0.507315516,8.1,76.59802,3,5,45156.85,21.512583,55.923255,4424762,Oman,OMN
Pakistan,3.844000101,3,5,1,30,3,0.66848439,5.1,66.42246,10,6,5358.35,30.375321,69.345116,193203476,Pakistan,PAK
Palestine,27.03000069,,,,,,0.555282354,8.9,,,4,,31.952162,35.233154,4551566,West Bank and Gaza,PSE
Panama,5.489999771,9,2,4,30,6,0.362015069,9.9,77.81814,5.6,2,25351.30,8.537981,-80.782127,4034119,Panama,PAN
Papua New Guinea,2.64199996,6,4,4,20,3,0.383838832,4.3,62.91822,6.3,3,3674.95,-6.314993,143.95555,8084991,Papua New Guinea,PNG
Paraguay,5.25,6,4,4,30,5,0.427349359,8.1,74.01492,5.9,0,9825.87,-23.442503,-58.443832,6725308,Paraguay,PRY
Peru,3.529999971,6,4,4,40,5,0.364463836,9,75.54014,7.5,1,13333.87,-9.189967,-75.015152,31773839,Peru,PER
Philippines,2.710000038,7,4,2,30,5,0.499627054,9.3,68.49672,8.3,0,8314.65,12.879721,121.774017,103320222,Philippines,PHL
Poland,6.159999847,10,2,4,65,9,0.289704889,11.9,77.52184,4.4,1,29521.25,51.919438,19.145136,37970087,Poland,POL
Portugal,11.06999969,,2,4,70,,0.22509335,8.9,81.14477,2.6,0,30416.50,39.399872,-8.224454,10325452,Portugal,PRT
Qatar,0.148000002,10,2,3,65,8,0.204446703,9.8,78.2345,4.6,5,124529.05,25.354826,51.183884,2569804,Qatar,QAT
Romania,5.900000095,10,3,4,35,7,0.288974106,10.8,75.03875,6.8,0,24508.42,45.943161,24.96676,19702332,Romania,ROU
Russia,5.537000179,7,4,1,20,6,0.26122269,12,70.46503,9.3,3,27834.09,61.52401,105.318756,144342396,Russian Federation,RUS
Rwanda,1.231999993,9,3,1,30,6,0.412571043,3.8,66.06106,8.8,2,2079.88,-1.940278,29.873888,11917508,Rwanda,RWA
Saudi Arabia,5.860000134,7,3,1,40,7,0.542298734,9.6,74.52389,7.4,5,54777.38,23.885942,45.079162,32275687,Saudi Arabia,SAU
Senegal,4.847000122,7,4,4,40,4,0.473828435,2.8,66.68136,6.3,1,2726.60,14.497401,-14.452362,15411614,Senegal,SEN
Serbia,15.26000023,9,3,4,50,7,0.25554499,10.8,75.62274,8.1,0,15000.00,44.016521,21.005859,7058322,Serbia,SRB
Sierra Leone,4.59800005,8,4,4,10,3,0.452530116,3.3,50.0709,6.2,2,1552.94,8.460555,-11.779889,7396190,Sierra Leone,SLE
Singapore,1.799999952,10,1,3,90,8,0.342614621,11.6,83.1063,3.1,5,93905.50,1.352083,103.819836,5607283,Singapore,SGP
Slovakia,9.670000076,10,3,4,50,9,0.280725718,12.2,76.65798,5.9,0,33025.20,48.669026,19.699024,5430798,Slovak Republic,SVK
Slovenia,8,10,2,4,60,10,0.217930511,12.1,80.82485,3.9,1,34407.06,46.151241,14.995463,2065042,Slovenia,SVN
